Size,Entropy,Rank
Qwen2.5-0.5B,59.350525,0.4682433
Qwen2.5-0.5B,59.628563,0.740551
Qwen2.5-0.5B,60.38382,0.59472847
Qwen2.5-0.5B,64.82082,0.39845276
Qwen2.5-0.5B,59.07496,0.4795876
Qwen2.5-0.5B,60.444424,0.67466223
Qwen2.5-0.5B,56.498848,1.0244129
Qwen2.5-0.5B,64.7448,0.34544578
Qwen2.5-0.5B,58.355766,0.57938415
Qwen2.5-0.5B,59.584938,0.33692038
Qwen2.5-0.5B,56.711468,0.52685535
Qwen2.5-0.5B,57.24222,0.46277857
Qwen2.5-0.5B,56.63152,0.4414325
Qwen2.5-0.5B,56.043293,0.7357304
Qwen2.5-0.5B,58.203766,0.46068624
Qwen2.5-0.5B,69.915016,0.53303903
Qwen2.5-0.5B,58.00675,0.41919157
Qwen2.5-0.5B,56.92765,0.87213975
Qwen2.5-0.5B,63.128685,0.44352347
Qwen2.5-0.5B,77.942566,0.5186462
Qwen2.5-0.5B,61.262764,0.41601157
Qwen2.5-0.5B,53.945175,0.7572843
Qwen2.5-0.5B,65.60098,0.45837957
Qwen2.5-0.5B,73.77539,0.46345362
Qwen2.5-0.5B,62.288425,0.44140068
Qwen2.5-0.5B,60.880486,0.69707704
Qwen2.5-0.5B,59.55051,0.80100423
Qwen2.5-0.5B,64.11464,0.36334914
Qwen2.5-0.5B,58.230427,0.48933768
Qwen2.5-0.5B,54.932693,0.47822732
Qwen2.5-0.5B,59.313934,0.72967327
Qwen2.5-0.5B,63.279854,0.3968783
Qwen2.5-0.5B,57.3877,0.5129103
Qwen2.5-0.5B,57.120785,0.5442851
Qwen2.5-0.5B,59.56854,0.68169487
Qwen2.5-0.5B,66.41498,0.41581997
Qwen2.5-0.5B,57.52485,0.48624367
Qwen2.5-0.5B,61.32541,0.5624945
Qwen2.5-0.5B,59.051285,0.7705836
Qwen2.5-0.5B,66.87127,0.38415098
Qwen2.5-0.5B,61.942593,0.49519867
Qwen2.5-0.5B,59.691525,0.47339165
Qwen2.5-0.5B,57.084866,0.7572703
Qwen2.5-0.5B,65.3907,0.4205223
Qwen2.5-0.5B,59.830875,0.510661
Qwen2.5-0.5B,61.072327,0.5568222
Qwen2.5-0.5B,58.200737,0.8678138
Qwen2.5-0.5B,64.42215,0.3972538
Qwen2.5-0.5B,58.532715,0.5712987
Qwen2.5-0.5B,58.02867,0.49046677
Qwen2.5-0.5B,56.194782,0.653372
Qwen2.5-0.5B,59.53268,0.37657222
